OBJECTID_1,Status,FACTYPE1,FACTYPE2,ON_OFFROAD,REGION1,REGION2,Signed,Net_Aff,Comments,State_Rte,Surf_Struc,Marked,Signed_Rte,Edited,NAME,FEAT_MOD_D,WIDTH_USFT,Length_Miles,GlobalID,last_edited_date
884,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Golfview Dr. to Golfview Dr. (along Flat Creek Rd),No,Hard, , ,,1601, ,9,0.255335,{A349016C-CA31-49B8-BC58-DBC216BD8710},
885,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From 1501 to Pinegate Rd.,No,Hard, , ,,1505, ,8,0.344886,{A6EDB7A8-408C-4D86-B5D9-5BB3035FF73E},
886,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.032313,{2FC88A64-3231-40C8-97D8-7310C2CC8361},
887,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.233604,{AAB23C29-6A10-45CB-B839-EDB74ABF1013},
888,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.013732,{9B83D2FB-9E98-4065-9600-0E48C518F0D0},
889,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Hidden Springs Ln. to White Springs Ln.,No,Hard, , ,,1843, ,9,0.212082,{9DBD86F2-FA4A-4E34-B95B-9DB7F238EE3F},
890,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.015362,{844CF7CC-00C5-4E89-8071-428AC6C0FF88},
891,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.010721,{AC769AE4-F779-4566-9F0D-1A304F8B2BFD},
892,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Redding Ridge to Stonington Dr,No,Hard, , ,,1846, ,8,0.097335,{6EB3367E-2E9D-4C0B-A513-4ED94697D72D},
893,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Bostonian Terrace to 1402,No,Hard, , ,,1410, ,9,0.03375,{4341931E-20A6-4A28-863D-28A2F50BFACE},
894,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,1406 to Independence Ln.,No,Hard, , ,,1411, ,9,0.035865,{D894314A-464F-4793-A716-AA1A940AF78C},
895,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,1406 to Independence Ln.,No,Hard, , ,,1412, ,9,0.036488,{8D8884E7-38A5-4C15-AE97-F79B64D49066},
896,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,1406 to Independence Ln.,No,Hard, , ,,1413, ,9,0.03723,{932E405E-3628-4C18-BFB9-2A8066B53DD6},
897,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,MacDuff Pkwy to Amelia Ln.,No,Hard, , ,,1401, ,9,0.161022,{FD581676-CFF3-4D4D-81C8-6755771D36CE},
898,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Circle around Beaver dam Park,No,Hard, , ,,1414, ,9,0.15095,{34765D5D-30FE-48E4-B528-1643C2F82AEE},
899,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,1402 to Gatehouse Dr.,No,Hard, , ,,1403, ,9,0.119055,{660BEA7E-520C-48DD-A073-DBE02EBF882A},
900,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Gatehouse Drive to Tunnel 19,No,Hard, , ,,1404, ,9,0.387907,{71BFCA4E-BC9A-429A-A49E-999DF0B204B1},
901,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,1404 to Glenview Dr.,No,Hard, , ,,1415, ,9,0.008323,{976EEAE3-97DE-436B-A5AE-B2DC6173742F},
902,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Abbey Rd. to 1404,No,Hard, , ,,1416, ,9,0.009124,{FE5674A3-23FE-4213-94D9-EC39C0753677},
903,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,1404 to Macduff Pkwy.,No,Hard, , ,,1417, ,9,0.008066,{8245AA88-EE77-40A9-9FFC-A2D0D1A82883},
904,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Macduff to Wynnmeade Pkwy,No,Hard, , ,,1405, ,9,0.087818,{BBF1265A-5922-41DE-A597-1077DAD29AC5},
905,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Turnbridge Circle to Hollen Ct.,No,Hard, , ,,1408, ,9,0.100574,{CFED4701-FA3F-41DF-8815-B48CD2F546FB},
906,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Hollen Ct to Walmart Shopping Center,No,Hard, , ,,1409, ,9,0.360974,{425FD3FF-AFD5-4F1A-8FF8-DC052089D287},
907,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Walmart Shopping Cntr,No,Hard, , ,,1419, ,9,0.044834,{49AA7089-C467-4AF0-985E-2BCFC8CB2857},
908,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Kelly Tunnel to Dividend Dr.,No,Hard, , ,,1331, ,9,0.246726,{C3D2A94C-6C11-46AA-949C-0AB2772F4930},
909,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From 74 Pedestrian Bridge to Tower Rd.,No,Hard, , ,,1402, ,9,0.546929,{F9A9F8C9-FE22-45F9-B104-FD382D6998EB},
910,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.009776,{73C127E7-BAD4-4F7A-AA3B-AEE7C807F4C6},
911,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.038554,{C9BE3A13-3D28-4EF0-8FC0-982F7A32AA0D},
912,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.007858,{74E3B8A8-101F-45FB-9A33-D0AC9AC23A94},
913,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,T-24 to 2120,No,Hard, , ,,2101, ,9,0.206118,{223B5946-E06E-44E5-93F9-1B7402427805},
914,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,2101 to 2112,No,Hard, , ,,2111, ,9,0.074025,{E1E6EE24-CBEF-41D2-AD1A-2848BACDE060},
915,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Brighton Path to 2101,No,Hard, , ,,2118, ,9,0.023844,{88EC279E-2387-402F-8F34-76AF6F306C60},
916,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Clifton Ln. to 2101,No,Hard, , ,,2102, ,9,0.064177,{8B6F6D9C-A3B8-46D0-965E-F591FA5FB30F},
917,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Ardenlee Tot Lot to 2102,No,Hard, , ,,2108, ,9,0.386278,{1254FA8C-4A6C-4B92-BE2B-C1E9BC3528A4},
918,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Ardenlee tot lot to 2108,No,Hard, , ,,2119, ,10,0.075925,{C62469F6-4DFC-47D9-AC06-6982F933D568},
919,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Crabapple Ln. to Ardenlee Pkwy,No,Hard, , ,,2117, ,9,0.456641,{28FC8390-9998-49FA-A8FA-E03EC4B97093},
920,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Farmington Dr. to Leisure Trl.,No,Hard, , ,,2116, ,9,0.249593,{CDA6D17A-5423-4DB9-AA5F-78B573EFCDBD},
921,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Leisure Trl to Grovewood Ln.,No,Hard, , ,,2115, ,9,0.195897,{83A2A469-274A-484B-878A-A5F5B9CFB8F2},
922,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Ardenlee Dr. to Briarleigh Dr.,No,Hard, , ,,2110, ,9,0.190211,{661DC6FC-EA13-4DF9-A58A-7317346A3B6B},
923,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Abrell Woods ct to 2110,No,Hard, , ,,2114, ,9,0.018826,{A32DA497-FEC7-44EA-9094-CB8D44D2010D},
924,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Clifton Ln. to Ardenlee Dr.,No,Hard, , ,,2105, ,9,0.124174,{316422BC-A1E4-4160-B4CD-D2A50FA34682},
925,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,2105 to Dunella Ln.,No,Hard, , ,,2106, ,9,0.044097,{48210F73-A6F4-486E-86B2-45D57A597E92},
926,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,2105 to Dalston way,No,Hard, , ,,2107, ,9,0.031646,{B151E643-F03C-446F-BB35-69D363DE9297},
927,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,2120 to Clifton Ln.,No,Hard, , ,,2104, ,9,0.111041,{6A4D5CE7-B2A0-4622-BB0F-4AD5CB0398F2},
928,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,2101 to vendella Circle,No,Hard, , ,,2120, ,9,0.067289,{BE3509FD-90FB-4DD5-8D4E-37DEE4BB1F4B},
929,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,2104 to Ardenlee Dr.,No,Hard, , ,,2121, ,9,0.104607,{280EF1DF-425E-479A-BB94-77ACFC1666B6},
930,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Carnellian Ln. to Loring Ln.,No,Hard, , ,,1839, ,9,0.092688,{525772C9-0B9E-48E6-A920-33DD738DD28C},
931,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.008291,{1B86DE30-4B6B-49E7-B041-D99D158F7D6D},
932,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.010528,{AAD83709-9D4D-4771-9592-DB24C6E6AA25},
933,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.009758,{CD52D588-505A-4F2D-82AC-FDA170EEB16B},
934,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.00471,{B64A0CFD-C1DA-46DF-A93A-87FE9F058B79},
935,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.005996,{EA7903CD-A562-41C9-8387-5793D1127D17},
936,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.005065,{F279DE66-1862-44EE-9204-EE1727AD8442},
937,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.011036,{F6D179D5-6E70-40F9-9CFF-5E84118BA6BD},
938,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Path 1505 to Path 1522,No,Hard, , ,,1501, ,9,1.135196,{1EC7F82E-F3CC-4A37-BFA1-573D6ADEA646},
939,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Concrete Path to Dover Trail,No,Hard, , ,,1546, ,8,0.023777,{279BC73C-5227-4DCA-A58C-8F7B8582DD8A},
940,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Northlake Dr. to Bridge 12 (Dover Square),No,Hard, , ,,1538, ,8,0.381933,{89B6C6B5-0D34-4613-B191-8D991B6308A9},
941,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Between the two Rileys Pkwy's,No,Hard, , ,,1516, ,9,0.034328,{063C3927-3F96-45CA-97C5-7AF733460900},
942,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Cloister Dr. to 1511,No,Hard, , ,,1545, ,10,0.04279,{DCB63EA3-AF04-4542-8636-BAF91A924D9A},
943,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Flat Creek to 1502,No,Hard, , ,,1503, ,10,0.203593,{33EB6AB7-C116-4BCE-85F9-5BA60114F640},
944,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Partners Pizza Parking lot to 1537,No,Hard, , ,,1536, ,8,0.112698,{0BFF18DE-2D88-4FBE-A9CE-28868B5A2BE6},
945,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Northlake Dr. to Westpark Dr.,No,Hard, , ,,1506, ,9,0.200095,{4ED79176-1E68-4560-A647-D3927B75F329},
946,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Along WestPark dr. Off of 1507,No,Hard, , ,,1547, ,9,0.033196,{D7D5C1EE-583C-477B-A9EA-479E4B324993},
947,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,1506 to Allstate,No,Hard, , ,,1508, ,9,0.059873,{97A9F529-6455-42DB-AA6A-2AAEF7D205E4},
948,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,1509 to 700 West Park Dr.,No,Hard, , ,,1549, ,9,0.124913,{E76BE75D-A502-4C5B-9700-7935871B788B},
949,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,1502 to 1512,No,Hard, , ,,1513, ,9,0.182733,{F00613AF-6EFE-4018-8675-D0E76426B774},
950,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,B18 to Preston Chase Dr.,No,Hard, , ,,1512, ,9,0.202801,{E79E240F-E0B6-4E01-8E26-57F9078C6E96},
951,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.008295,{27F5946A-B467-4D72-8159-B1E43E875E24},
952,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Dividend Dr. to Terrane Ridge,No,Hard, , ,,1301, ,9,0.358573,{84F9CEFB-B26D-4EBB-9AED-622A79E28421},
953,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.009348,{E30E912A-A664-4FF4-A65A-B023AFD997BD},
954,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.008064,{B3118F3D-C89D-4131-B874-5B3594A855AE},
955,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.007432,{679A8F8E-9E34-451A-B09F-E65BDA869832},
956,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.005548,{CCAAA546-8E78-48DF-B380-A8621837EF0D},
957,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.010754,{22EBD15F-2AB6-4096-AF40-D53268797FF4},
958,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.008134,{DFF7FE36-2E62-486F-A524-0F2C10FC704D},
959,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.005946,{AFFC25AA-9375-4EA3-BE53-D67E1987A662},
960,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.004957,{C6119403-D5B4-4CE2-A6CD-8BAFF86B96D9},
961,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Kelly Green to Viridian View,No,Hard, , ,,1302, ,9,0.072818,{2FB9E404-B420-488B-8EE8-26D8F5E74FBC},
962,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Viridian Viewto Henna Place,No,Hard, , ,,1303, ,9,0.081107,{60F651D8-BFF0-4C64-8A2A-6FD5F81F837B},
963,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Henna Place to Teal Vista,No,Hard, , ,,1304, ,9,0.145833,{D7442ED5-983A-499C-A5CD-24EFC8C4A3B8},
964,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Teal Vista to Celadon,No,Hard, , ,,1305, ,9,0.15644,{465D99E3-5BFB-4855-8462-8BF879EED1EE},
965,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,1305 to Terrane Ridge,No,Hard, , ,,1321, ,9,0.033651,{5319B2ED-5FD5-493C-9F2B-4D5E59523022},
966,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Celadon to Patina Point,No,Hard, , ,,1306, ,9,0.084428,{32280520-1DA9-4925-8EE9-2E23E40D9C0F},
967,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Patina Point to 1308,No,Hard, , ,,1307, ,9,0.077547,{CAE127AD-C395-4E0E-B820-80D3A1183715},
968,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Terrane Ridge to Plantain Terrace,No,Hard, , ,,1308, ,9,0.087275,{01757309-101E-4571-8968-2DC93BCC4973},
969,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,1308 to Nature Trail,No,Hard, , ,,1309, ,9,0.107429,{B43B2306-989F-43E4-9D9D-BD3AA25E3F1A},
970,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Plantain Terrace to Terrane Ridge,No,Hard, , ,,1310, ,9,0.077584,{866997D2-21D2-49AB-986A-8F77009FFFEF},
971,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Terrane Ridge to Pallete Lane,No,Hard, , ,,1311, ,9,0.071193,{BE8244E5-B4D7-46F9-A09A-6B54C2874439},
972,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,1312 to 1314,No,Hard, , ,,1313, ,9,0.177632,{9D438063-BAD9-4B11-9D75-24451FFA3680},
973,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,1314 to Plantain Terrace,No,Hard, , ,,1322, ,9,0.040828,{E74C392E-121C-4ED3-BFAD-289A20D2A2CE},
974,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,1314 to Vermillion Ln.,No,Hard, , ,,1324, ,9,0.061688,{AD115B2F-BAE2-4335-9BEB-5DB3E99F1936},
975,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,1314 to Crown Ct.,No,Hard, , ,,1325, ,9,0.046635,{ABE61E04-585C-40CA-A073-DD0A2CCBB780},
976,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Huddleston Rd. to Tennis Center,No,Hard, , ,,1323, ,9,0.359141,{F8D54E86-1AF2-432E-B6FC-E1F8686D28FA},
977,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Cimmaron Park to Terrane Ridge,No,Hard, , ,,1327, ,9,0.180259,{C55D8039-64DB-438D-A3E3-34474C534176},
978,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.008027,{9F11BEE5-9EBB-4C6E-AA13-9C42C7CAD35A},
979,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.006725,{C0893229-2C8E-4076-B7D3-6B85489200BC},
980,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From 1313 to Line Creek Nature Area,No,Hard, , ,,1314, ,9,0.355835,{B06665D3-994D-4EE1-855F-B43789641205},
981,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,off Tunnel ID T17,No,Hard, , ,,2123, ,12,0.105259,{4D095A84-D977-4493-8505-A5E7DD9C5E80},
982,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.006745,{DFC3E639-162A-41AB-A26F-AB7D5BBE8348},
983,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.009856,{E0678E8A-FA8C-40EF-BB41-09FD1AD9BB7D},
984,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Private: Timberlake Path around the Lake,No,Hard, , ,,0222, ,9,0.450848,{BE9D28D2-2BF8-4CFF-9C7F-5E2A3606CB1E},
985,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Short path at entrance of Timberlake (the Shores),No,Hard, , ,,0223, ,9,0.023388,{4FACAD8A-BC84-4F7B-A1A8-9E9BDFC5AEC3},
986,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Woodmere Ln to Stonebriar,No,Hard, , ,,0224, ,9,0.122225,{E86A3DB5-C0FD-46A7-84E4-04774415058F},
987,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,From Woodcreek Ln. to Boardwalk,No,Hard, , ,,0225, ,9,0.167757,{68BD2CE7-E6C6-494C-8C6E-A0AB108996B7},
988,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,from Woodcreek Ln to Wellborn Chase,No,Hard, , ,,0226, ,9,0.130418,{553066F0-3513-429D-8705-72EF5BCBAA91},
989,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,from woodcreek Ln to Streamview Ct,No,Hard, , ,,0227, ,9,0.118494,{E8A8CF98-59B2-4904-A2E8-7EC4A4980F02},
990,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Woodland Dr. to 1232,No,Hard, , ,,1243, ,9,0.083654,{EC110189-B280-43ED-B2A6-77955E714594},
991,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,1232 to Wysteria Ct.,No,Hard, , ,,1242, ,9,0.091405,{4E19C982-AA2F-4A09-859D-7F1E19BE11CF},
992,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Whitfield Ct. to Wysteria Ct.,No,Hard, , ,,1252, ,9,0.093931,{F5813001-CACB-4033-9C94-290836C56265},
993,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,1230 to Red Roan Ct.,No,Hard, , ,,1251, ,9,0.148828,{A88AE7A7-822B-42BA-94C7-E6876ACE7AFA},
994,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Windbreak Path to 1232,No,Hard, , ,,1241, ,9,0.034226,{AA40DB40-A9DB-4BD1-AB6D-AB4B954CDEA5},
995,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Bluegrass Trace to 1232,No,Hard, , ,,1240, ,9,0.040178,{1CBB368D-D747-4628-806B-182E92D8C6A4},
996,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Gelding Garth to 1232,No,Hard, , ,,1239, ,9,0.02849,{0939CB22-E5E1-4595-B7C2-77B9D09AA14F},
997,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0,{62C797EC-3088-47C4-9691-CE82F5BE8259},
998,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0,{E8C5C035-BF6D-4659-BA1C-2C75EB171A12},
999,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.015897,{66331938-4553-48C3-B2C6-7709D9CC34B0},
1000,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.011337,{71BD8360-F3A1-49F4-A4E8-DC3D2F6C098A},
1001,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Terrane Ridge to Planterra Way,No,Hard, , ,,1312, ,9,0.329427,{A27AA891-615F-42E9-A3E7-8B1A941A0627},
1002,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.017859,{5165F3CE-4F38-4356-BA02-57222244FA44},
1003,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.013862,{6203C9E4-4C54-46D3-9DBA-459A37A7DBFE},
1004,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.016661,{7A492C7C-3446-4EFA-A018-F1E96D84DDE9},
1005,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.008657,{9569F115-5A98-4BD0-941C-334A66995FCE},
1006,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.008735,{B7409804-2E44-4402-9CE2-0FB20F77B498},
1007,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City,Walmart Shopping Cntr to Hwy 54,No,Hard, , ,,1418, ,9,0.123835,{5B9A2A53-C8D2-419F-9947-FD640577B853},
1008,,Golf Cart Path,Off Road Bike Facility,Off,Fayette County,Peachtree City, ,Peachtree City, ,No,Hard, , ,, , , ,0.005121,{3ED48733-BC06-4376-AE98-643BE0D90DD9},
