OBJECTID,TIAID,PRJ_NAME,PURPOSE,PRJ_TYPE,SHORTSCOPE,PRJ_LENGTH,JURISDICTN,SUBREGION,ASSET_MNG,RDWY_CAP,FREIGHT,SAFETY_OP,AVIATION,BIKE_PED,TRANS_CAP,PLN_2040,TRANS_OP,RELATED_ID,FED_FUNDS,TIA_FUNDS,LOC_FUNDS,TOTALFUNDS,GlobalID,last_edited_date
77,TIA-DO-018,"SR 6 (Thornton Road) from Paulding County Line to Riverside Parkway - Truck Friendly Lanes, ITS, Intersection Improvements and Partial Widening","This project includes road widening, truck friendly lanes, intersection improvements, and ITS technologies on SR 6 (Thornton Road) from the Paulding County line to SR 70 (Fulton Industrial Boulevard) in Fulton County.  The segment from SR 8 through Cobb",Roadway,"This project includes road widening, truck friendly lanes, intersection improvements and ITS technologies along SR 6 (Thornton Road) from the Paulding County line to Riverside Parkway.  Overhead way-finding signage and ITS technologies will be included.",14,Douglas/Cobb,West Subregion,No,Yes,Yes,Yes,No,No,No,"A portion planned for widening in PLAN 2040, but most of project consistent with plan emphasis on low cost operational improvements rather than major capacity expansion",No,ASP-CO-416,0,43000000,0,43000000,{FB657C5B-1275-42E4-9670-241446DB157F},
78,TIA-AT-001(49),Auburn Avenue from Peachtree Street to Boulevard - Traffic Improvements,"This project will provide traffic improvements along Auburn Avenue from Peachtree Street to Boulevard.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, Americans with Disabilities Act (AD",Roadway,"This project will provide traffic improvements along Auburn Avenue from Peachtree Street to Boulevard.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, ADA improvements, milling and resur",1.0,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on system preservation and investment within existing activity centers",No,N/A,0,643750,0,643750,{E2285179-22D3-4FFA-9F1B-20C2499B8E23},
79,TIA-AT-001(48),14th Street from Howell Mill Road to Piedmont Road - Traffic Improvements,"This project will provide traffic improvements along 14th Street from Howell Mill Road to Piedmont Road.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, Americans with Disabilities Act (",Roadway,"This project will provide traffic improvements along 14th Street from Howell Mill Road to Piedmont Road.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, ADA improvements, milling and res",1.9,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on system preservation and investment within existing activity centers",No,N/A,0,575000,0,575000,{DC3DB845-181C-4BE4-A403-6BE096C3FECA},
80,TIA-AT-001(47),10th Street from Howell Mill Road to Monroe Drive - Traffic Improvements,"This project will provide traffic improvements along 10th Street from Howell Mill Road to Monroe Drive.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, Americans with Disabilities Act (A",Roadway,"This project will provide traffic improvements along 10th Street from Howell Mill Road to Monroe Drive.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, ADA improvements, milling and resu",2.4,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on system preservation and investment within existing activity centers",No,N/A,0,462500,0,462500,{252BFFF4-508A-4A72-A5E0-FE171A0618AF},
81,TIA-AT-001(51),Courtland Street from Linden Avenue to Gilmer Street - Traffic Improvements,"This project will provide traffic improvements along Courtland Street from Linden Avenue to Gilmer Street.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, Americans with Disabilities Act",Roadway,"This project will provide traffic improvements along Courtland Street from Linden Avenue to Gilmer Street.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, ADA improvements, milling and r",1.1,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements rather than major capacity expansion",No,N/A,0,750000,0,750000,{71B69257-E8F4-4B5B-8E84-84C817E429D4},
82,TIA-AT-001(53),Edgewood Avenue from Peachtree Street to Elizabeth Street - Traffic Improvements,"This project will provide traffic improvements along Edgewood Avenue from Peachtree Street to Elizabeth Street.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, Americans with Disabilitie",Roadway,"This project will provide traffic improvements along Edgewood Avenue from Peachtree Street to Elizabeth Street.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, ADA improvements, milling",2.0,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements rather than major capacity expansion",No,N/A,0,527667,0,527667,{BC5CA992-565F-4280-BA26-D1050511D617},
83,TIA-AT-001(54),Howell Mill Road from I-75 North to 10th Street - Traffic Improvements,"This project will provide traffic improvements along Howell Mill Road from I-75 to 10th Street.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, Americans with Disabilities Act (ADA) impr",Roadway,"This project will provide traffic improvements along Howell Mill Road from I-75 to 10th Street.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, ADA improvements, milling and resurfacing,",1.7,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements rather than major capacity expansion",No,N/A,0,512500,0,512500,{519AEC1C-F807-4BF1-B02E-FF306F572B48},
84,TIA-AT-001(55),Joseph E. Lowery Boulevard from West Marietta Street to SR 139 (Ralph David Abernathy Boulevard) - Traffic Improvements,"This project will provide traffic improvements along Joseph E. Lowery Boulevard from West Marietta Street to Ralph David Abernathy Boulevard.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studi",Roadway,"This project will provide traffic improvements along Joseph E. Lowery Boulevard from West Marietta Street to Ralph David Abernathy Boulevard.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studi",3.1,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements rather than major capacity expansion",No,N/A,0,1188750,0,1188750,{0CF5EB35-6314-46FE-B3EA-F8199A309CF9},
85,TIA-AT-001(56),"Martin Luther King, Jr. Drive from Fairburn Road to Washington Street - Traffic Improvements","This project will provide traffic improvements along Martin Luther King, Jr. Drive from Fairburn Road to Washington Street.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, Americans with",Roadway,"This project will provide traffic improvements along Martin Luther King, Jr. Drive from Fairburn Road to Washington Street.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, ADA improvemen",7.2,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements rather than major capacity expansion",No,N/A,0,3000000,0,3000000,{7D56CA22-361B-4114-9A98-727F3125A515},
86,TIA-AT-001(58),Monroe Drive from Piedmont Circle to US 78/278 (Ponce de Leon Avenue) - Traffic Improvements,"This project will provide traffic improvements along Monroe Drive from Piedmont Circle to Ponce de Leon Avenue.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, Americans with Disabilitie",Roadway,"This project will provide traffic improvements along Monroe Drive from Piedmont Circle to Ponce de Leon Avenue.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, ADA improvements, milling",3.1,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements rather than major capacity expansion",No,N/A,0,706250,0,706250,{40F4DACA-AAE9-454E-A32E-C64117C1D0FB},
87,TIA-AT-001(59),North Avenue from US 41 (Northside Drive) to US 23 (Moreland Avenue) - Traffic Improvements,"This project will provide traffic improvements along North Avenue from Northside Drive to Moreland Avenue.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, Americans with Disabilities Act",Roadway,"This project will provide traffic improvements along North Avenue from Northside Drive to Moreland Avenue.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, ADA improvements, milling and r",3.2,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements rather than major capacity expansion",No,N/A,0,457500,0,457500,{4F261D70-011B-43A7-985C-68E21308CD58},
88,TIA-AT-001(40),"Piedmont Avenue from Cheshire Bridge Road to Martin Luther King, Jr. Drive - Multimodal Corridor Improvements","This project will provide multimodal improvements along the Piedmont Avenue corridor from Cheshire Bridge Road to Martin Luther King, Jr. Drive.  Improvements will include sidewalk repair and installation, Americans with Disabilities Act (ADA) ramp upgra",Roadway,"This project will provide multimodal improvements along the Piedmont Avenue corridor from Cheshire Bridge Road to Martin Luther King, Jr. Drive.  Improvements will include sidewalk repair and installation, ADA ramp upgrades, milling and resurfacing, asso",4.4,Atlanta,Central Subregion,Yes,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on system preservation and investment within existing activity centers",No,N/A,0,3604908,0,3604908,{F3149898-B606-45D6-A3E3-1906EB8D95C0},
89,TIA-AT-001(57),SR 154 (Memorial Drive) from Peachtree Street to SR 155 (Candler Road) - Traffic Improvements,"This project will provide traffic improvements along Memorial Drive from Peachtree Street to Candler Road.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, Americans with Disabilities Act",Roadway,"This project will provide traffic improvements along Memorial Drive from Peachtree Street to Candler Road.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, ADA improvements, milling and r",6.0,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements rather than major capacity expansion",No,N/A,0,738750,0,738750,{F651E2C0-24B8-4F14-BC6F-C6263AEED233},
90,TIA-AT-001(63),SR 237 (Piedmont Road/Avenue) from SR 9 (Roswell Road) to Edgewood Avenue - Traffic Improvements,"This project will provide traffic improvements along Piedmont Road / Piedmont Avenue from Roswell Road to Edgewood Avenue.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, Americans with",Roadway,"This project will provide traffic improvements along Piedmont Road / Piedmont Avenue from Roswell Road to Edgewood Avenue.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, ADA improvement",7.5,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements rather than major capacity expansion",No,N/A,0,612000,0,612000,{84ECF1F5-9573-41C0-9A7F-0F78A4A3EDB0},
91,TIA-AT-001(61),SR 9 / SR 141 (Peachtree Road) from Peachtree Dunwoody Road to Collier Road - Traffic Improvements,"This project will provide traffic improvements along Peachtree Road from Peachtree Dunwoody Road to Collier Road.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, Americans with Disabilit",Roadway,"This project will provide traffic improvements along Peachtree Road from Peachtree Dunwoody Road to Collier Road.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, ADA improvements, millin",4.2,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements rather than major capacity expansion",No,N/A,0,1713450,0,1713450,{4B7767C3-05BF-4931-8D4A-3EB01D1C2D99},
92,TIA-AT-001(60),US 19/41 (Northside Drive) from West Paces Ferry Road to Whitehall Street - Traffic Improvements,"This project will provide traffic improvements along Northside Drive from West Paces Ferry Road to Whitehall Street.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, Americans with Disabi",Roadway,"This project will provide traffic improvements along Northside Drive from West Paces Ferry Road to Whitehall Street.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, ADA improvements, mil",7.6,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements rather than major capacity expansion",No,N/A,0,525325,0,525325,{BEA1BF1C-4A73-4B24-8CA0-0A1C3254AFD0},
93,TIA-AT-001(52),US 78 (Donald L. Hollowell Parkway) from SR 70 (Fulton Industrial Boulevard) to US 41 (Northside Drive) - Traffic Improvements,"This project will provide traffic improvements along Donald L. Hollowell Parkway from Fulton Industrial Boulevard to Northside Drive.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, Amer",Roadway,"This project will provide traffic improvements along Donald L. Hollowell Parkway from Fulton Industrial Boulevard to Northside Drive.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, ADA",5.5,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements rather than major capacity expansion",No,N/A,0,1025000,0,1025000,{41283071-8C75-4BD6-965C-CF3C6E0F2873},
94,TIA-AT-001(64),US 78/278 (Ponce de Leon Avenue) from Spring Street to Clifton Road - Traffic Improvements,"This project will provide traffic improvements along Ponce de Leon Avenue from Spring Street to Clifton Road.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, Americans with Disabilities",Roadway,"This project will provide traffic improvements along Ponce de Leon Avenue from Spring Street to Clifton Road.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, ADA improvements, milling an",3.4,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements rather than major capacity expansion",No,N/A,0,618125,0,618125,{A465C878-B76D-4598-862C-97CBBEDCE6E8},
95,TIA-AT-001(66),"SR 139 (Martin Luther King, Jr. Drive) from SR 280 (H.E. Holmes Drive) to Lamar Avenue - Multimodal Corridor Improvements","This project will upgrade Martin Luther King, Jr. Drive between H.E. Holmes Drive and Lamar Avenue to improve safety and accomodate multiple modes of transportation. The purpose of the proposed project is to reduce angle and rear-end crashes and improve",Roadway,"This project will upgrade Martin Luther King, Jr. Drive between H.E. Holmes Drive and Lamar Avenue to reduce angle and rear-end crashes and improve operations and safety through the reconstruction of the existing four-lane cross-section, adding left-turn",0.5,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on system preservation and investment within existing activity centers",No,N/A,0,7395000,0,7395000,{F76D27A7-A2DA-4E23-9EC7-FE3EDEF13CA2},
96,TIA-AT-001(50),Boulevard from US 78 (Ponce de Leon Avenue) to SR 42 Spur (McDonough Boulevard) - Traffic Improvements,"This project will provide traffic improvements along Boulevard from US 78 (Ponce de Leon Avenue) to SR 42 Spur (McDonough Boulevard).  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, Amer",Roadway,"This project will provide traffic improvements along Boulevard from US 78 (Ponce de Leon Avenue) to SR 42 Spur (McDonough Boulevard).  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, ADA",4.2,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements rather than major capacity expansion",No,N/A,0,1150000,0,1150000,{227A70C6-81F4-4CB2-BBBA-D46D6C2ED7F7},
97,TIA-AT-001(65),Spring Street from Peachtree Street to SR 154 (Trinity Avenue) - Traffic Improvements,"This project will provide traffic improvements along Spring Street from Peachtree Street to Trinity Avenue.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, Americans with Disabilities Ac",Roadway,"This project will provide traffic improvements along Spring Street from Peachtree Street to Trinity Avenue.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, ADA improvements, milling and",3.4,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements rather than major capacity expansion",No,N/A,0,1292125,0,1292125,{359EBFD8-540E-45F0-AD46-B02E67624720},
98,TIA-AT-001(62),Peachtree Street from Spring Street to SR 154 (Trinity Avenue) - Traffic Improvements,"This project will provide traffic improvements along Peachtree Street from Spring Street to Trinity Avenue.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, Americans with Disabilities Ac",Roadway,"This project will provide traffic improvements along Peachtree Street from Spring Street to Trinity Avenue.  Improvements will include traffic signal coordination, modernization, optimization and associated traffic studies, ADA improvements, milling and",3.5,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements rather than major capacity expansion",No,N/A,0,434875,0,434875,{32CCC0EB-F29D-4318-B895-922245AEA96D},
99,TIA-AT-021A,SR 237 / SR 9 (Piedmont Road / Roswell Road) between Atlanta City Limits and Lindbergh MARTA Station - Bus Rapid Transit and Road Improvements,"This project will improve the accessibility, availability and reliability of transit service along the SR 237 (Piedmont Road) and US 19 (Roswell Road) corridor between Lindbergh Center MARTA Station and the Atlanta city limits, while also addressing key",Roadway/Transit,"This project will improve transit service along the Piedmont Road and Roswell Road corridors between the Lindbergh Center MARTA station and the Atlanta city limits, while also addressing key congestion points and reducing delay for all modes of transport",4.1,Atlanta,Central Subregion,No,No,No,Yes,No,Yes,Yes,"Comparable projects in PLAN 2040; majority of construction planned beyond 2040",Yes,"ASP-AR-478; ASP-AT-257; AT-246",0,50000000,0,50000000,{D8D6F5BF-1789-4127-A53A-AB00CDCEC202},
100,TIA-FS-003,Hutcheson Ferry Rd at Atlanta Newnan Road and Rico Road - Roundabout,"This project will construct a roundabout on Hutcheson Ferry Road at Atlanta Newnan Road and Rico Road. The place where these roads all meet is an old, country intersection that no longer safely serves the needs of the vehicles that pass there. The propos",Roadway,"This project will construct a roundabout on Hutcheson Ferry Road at Atlanta Newnan Road and Rico Road.  The proposed roundabout offers the most efficient solution by improving the safety, visibility and speed of traffic entering and leaving the intersect",N/A,Fulton,Southwest Subregion,No,No,No,Yes,No,No,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements instead of major capacity expansion",No,N/A,0,1750000,0,1750000,{E5B3A2F3-B87B-46B4-8E3E-FE89CB9B9A81},
101,TIA-FS-008,I-85 South at SR 74 - Interchange Improvements,"This project will provide improvements at the I-85 South at SR 74 (Joel Cowan Parkway) interchange.  Located about 10 miles southwest of Hartsfield-Jackson International Airport, the subject interchange modifications will include ramp improvements that e",Roadway,This project will provide improvements at the I-85 South at SR 74 (Joel Cowan Parkway) interchange.  The interchange modifications will include ramp improvements and extending the project limits in either direction toward the SR-92 and the Bohannon Road,N/A,Fulton,Southwest Subregion,No,No,Yes,Yes,No,No,No,Project identified as line item in PLAN 2040 with construction planned for 2018-2030 timeframe,No,FS-AR-182,11250000,11250000,0,22500000,{3BED9B58-C006-434F-A2B0-E7246866F2A3},
102,TIA-CH-001,Bells Ferry Road at Little River - Bridge Replacement,This project replaces the existing Bells Ferry Road bridge over the Little River.  The existing bridge has a low sufficiency rating of 44.  The existing bridge width is a concern for the Cherokee County School System and public safety agencies.  School b,Roadway,"This project replaces  the existing Bells Ferry Road bridge over the Little River, which is currently in disrepair and is not passable by school buses. Bells Ferry Road is on the Regional Strategic Transportation System and connects the City of Canton wi",0.1,Cherokee,Northwest Subregion,Yes,No,No,No,No,No,No,Project identified as a line item in PLAN 2040 with construction planned in 2018-2030 timeframe,No,CH-010B,0,7000000,0,7000000,{09D3896D-BD36-49CF-96C0-9D0538047BB8},
103,TIA-FS-018,I-285 West at Cascade Road - Interchange Improvements,"This project consists of upgrading the interchange of Cascade Road and I-285.  Cascade Road is on the Regional Strategic Transportation System and serves the city of Atlanta, the Fulton Industrial area, Cobb County and Douglas County. The need exists to",Roadway,This project consists of upgrading the interchange of Cascade Road and I-285.  The purpose of the project is to provide additional capacity to enter and exit I-285 and to accommodate the existing and projected volume of trips needing access to the Cascad,N/A,Fulton,I-285 Corridor,No,No,No,Yes,No,Yes,No,Not identified as a line item in PLAN 2040,No,N/A,11800000,11800000,0,23600000,{36BEF5E3-3F7C-4F6B-B494-68A808740C64},
104,TIA-FS-019,SR 70 (Fulton Industrial Blvd) from SR 6 (Camp Creek Parkway) to Frederick Drive - Intersection Improvements at Multiple Locations,"This project will rectify roadway geometric deficiencies and address safety issues along the SR 70 (Fulton Industrial Boulevard) corridor, from Camp Creek Parkway to Frederick Drive.  Fulton Industrial Boulevard is a Regional Thoroughfare and a Regional",Roadway,"This project will rectify roadway geometric deficiencies and address safety issues along the Fulton Industrial Boulevard corridor, from Camp Creek Parkway to Frederick Drive.  Fulton Industrial Boulevard is a six-lane highway that narrows down to four la",3.6,Fulton,West Subregion,No,No,Yes,Yes,No,Yes,No,"Proposed project is for operational improvements at intersections along corridor, but PLAN 2040 project is to widen the corridor with construction planned for 2018-2030 timeframe.",No,FS-003,0,7500000,0,7500000,{CE3DFE53-2BC0-4C65-AAFA-3E6E49FA427C},
105,TIA-FS-026,SR 92 (Campbellton Fairburn Road) at South Fulton Parkway and Hall Road - Intersection Improvements,"This project will provide improvements at the intersection of SR 92 (Campbellton Fairburn Road) at South Fulton Parkway and Hall Road, enhancing operational and pedestrian efficiency and safety. These intersections are located in southern Fulton County.",Roadway,"This project will provide improvements at the intersection of Campbellton Fairburn Road at South Fulton Parkway and Hall Road, enhancing operational and pedestrian efficiency and safety.  A continuous flow intersection will be constructed, replacing the",N/A,Fulton,Southwest Subregion,No,No,Yes,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements instead of major capacity expansion",No,N/A,0,16000000,0,16000000,{37721E37-7DF5-4650-A430-BAD0C412F317},
106,TIA-FN-005,SR 120 (Old Milton Parkway) at SR 400 and Morris Road - Interchange/Intersection Improvements,This project will provide interchange and intersection improvements along Old Milton Parkway at SR 400 and Morris Road.  Specific improvements will be identified through a concept and scoping study to be conducted during early stages of project implement,Roadway,This project will provide interchange and intersection improvements along Old Milton Parkway at SR 400 and Morris Road.  Specific improvements will be identified through a concept and scoping study to be conducted during early stages of project implement,N/A,Fulton,North Subregion,No,No,No,Yes,No,No,No,Not identified as a line item in PLAN 2040,No,N/A,0,1900000,0,1900000,{B8504FC7-73BF-43FD-BE57-1A8C46193CEE},
107,TIA-CO-006,US 41 (Cobb Parkway) from Barrett Parkway to Bartow County - Intersection Improvements at Nine Locations,"This project consists of turn lane, traffic signal, pedestrian and other improvements to nine (9) key intersections along US 41 (Cobb Parkway) from Barrett Parkway to the Bartow County Line.  The intersections are Cedarcrest Road, SR 92/Dallas Acworth Hw",Roadway,"This project consists of operational and safety improvements to nine key intersections along Cobb Parkway between Barrett Parkway and the Bartow County line. It will include turn lanes, traffic signal coordination and timing, pedestrian and other improve",8.7,Cobb,Northwest Subregion,No,No,Yes,Yes,No,Yes,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on low cost operational improvements rather than major capacity expansion",No,N/A,0,9800000,0,9800000,{27939A89-538D-419D-9852-77ADA6B2F64D},
108,TIA-CO-043,US 41 (Cobb Parkway) at Windy Hill Road - Grade Separation,This project will provide safety and operational improvements to the intersection of US 41 (Cobb Parkway) and Windy Hill Road through the construction of a flyover bridge or some other type of grade separation which will carry east-west through traffic o,Roadway,This project will grade separate the intersection of Cobb Parkway and Windy Hill Road through the construction of a flyover bridge that will carry east-west through traffic on Windy Hill Road over north-south traffic on Cobb Parkway.  Enhancements includ,N/A,Cobb,Northwest Subregion,No,No,Yes,Yes,No,No,No,"Not identified as a line item in PLAN 2040 but included in a previous plan; need and purpose proposed to be evaluated in a scoping study",No,N/A,0,89500000,3500000,93000000,{3FF3324B-554C-4975-95AF-318856B14943},
109,TIA-CO-013,I-75 North at Windy Hill Road - Interchange Improvements,This project consists of modifying the existing I-75 / Windy Hill Road Interchange by reconstructing the exit and entrance ramps on Windy Hill Road and providing additional capacity along Windy Hill Road in the interchange area.  Windy Hill Road currentl,Roadway,"This project consists of modifying the existing I-75 North / Windy Hill Road Interchange. Major components of the proposed project include widening the I-75 and I-285 northbound ramp to Windy Hill Road, and relocating and improving the I-285 exit to Wind",N/A,Cobb,Northwest Subregion,No,No,Yes,Yes,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned in 2018-2030 timeframe,No,CO-AR-238,30000000,47000000,0,77000000,{CA2D051B-C820-4789-9366-C9F27C8E829E},
110,TIA-CO-018,McCollum Airport - New Air Traffic Control Tower,"This project will involve construction of a new Air Traffic Control Tower at Cobb County Airport-McCollum Field.  It will be constructed on existing airport property, providing numerous modern enhancements, including new Federal Aviation Administration (",Aviation,"This project will construct a new Air Traffic Control Tower at Cobb County Airport / McCollum Field.  The existing air traffic control tower was constructed in 1995 and has numerous efficiency, safety and security deficiencies. Cobb County Airport-McColl",N/A,Cobb,Northwest Subregion,No,No,No,No,Yes,No,No,Not identified as a line item in PLAN 2040,No,N/A,0,2500000,0,2500000,{A1398721-B05B-4304-AFC7-CDB993AD8CA2},
111,TIA-AT-010,I-285 West at Greenbriar Parkway - New Interchange,"This project will improve vehicle access between southern Fulton County and the Greenbriar Livable Centers Initiative (LCI) area, by providing a new interchange south of the existing interchange at I-285 and Langford Parkway / Campbellton Road. The goal",Roadway,"This project will provide a new interchange south of the existing interchange at I-285 and Langford Parkway / Campbelleton Road, with the goal of reducing travel time on the existing highway network and improving vehicle access to the Greenbriar area.  T",N/A,Atlanta,I-285 Corridor,No,Yes,No,No,No,No,No,Project identified as a line item in PLAN 2040 with construction planned beyond 2040,No,ASP-AT-259,0,36400000,0,36400000,{EF68998E-4188-4139-BAAD-907FD4FC24E9},
112,TIA-M-014,MARTA Airport Station Improvements,This project involves improvements to the MARTA station at Atlanta’s Airport which is the nation’s busiest airport. MARTA’s Airport Station should be considered one of MARTA’s signature stations. This is where first-time visitors get a glimpse of MARTA’s,Transit,"This project involves improvements to the MARTA station at Hartsfield Jackson Atlanta International Airport.  Improvements will include:  upgrade concourse lighting with LED lights, paint entire canopy structure, install/repair walls along concourse and",N/A,Regional,Regional,No,No,No,No,No,No,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on preservation of existing transit services",Yes,N/A,0,7160000,0,7160000,{B0A79501-FC3D-40A6-B8DF-B7A95C365D32},
113,TIA-DK-055,I-20 East at Panola Road - Interchange Improvements,"This project funds a reconstruction of the I-20 East / Panola Road interchange, which serves several bustling commercial and industrial clusters in the area. The funds will support right of way acquisition and modification/reconstruction of the current i",Roadway,"This project funds a reconstruction of the I-20 East / Panola Road interchange, which serves several bustling commercial and industrial clusters in the area. This project will compliment another transportation referendum project which will widen Panola R",N/A,DeKalb,East Subregion,No,No,Yes,Yes,No,Yes,No,Project identified as line item in PLAN 2040 with construction planned for 2018-2030 timeframe.,No,DK-AR-242,10600000,10600000,0,21200000,{DC0698DF-5AE5-4117-A9B3-B5197FEE1291},
114,TIA-HE-015,I-75 South at Bill Gardner Parkway - Interchange Improvements,"This project consists of operational features such as turn-lane expansion and is intended to improve peak period southbound traffic exiting I-75 onto Bill Gardner Parkway, as well as improve traffic accessibility to the Tanger Outlet Mall commercial dist",Roadway,"This project consists of operational features such as turn-lane expansion and is intended to improve peak period southbound traffic exiting I-75 onto Bill Gardner Parkway, as well as improve traffic accessibility to the Tanger Outlet Mall area. It is nee",N/A,Henry,Southeast Subregion,No,No,No,No,No,No,No,"Interchange improvements at this location are not identified as a stand-alone line item in PLAN 2040, but are integrated into the scope of an adjacent roadway capacity project",No,HE-126B,9500000,9500000,0,19000000,{0C5B2F3A-B87A-4559-88F1-3732C9E1481F},
115,TIA-GW-025,I-85 North at SR 324 (Gravel Springs Road) - New Interchange,This new interchange will provide access to existing development within the area and provide a solution to address the anticipated increase in local traffic volume (including trucks) resulting from planned development.  The project serves origins or dest,Roadway,This new interchange will provide access to existing development within the area and will address the anticipated increase in local traffic volume (including trucks) resulting from planned development in a corridor that is already heavily congested. The,N/A,Gwinnett,Northeast Subregion,No,Yes,Yes,Yes,No,No,No,Project identified as a line item in PLAN 2040 with construction planned for beyond 2040,No,ASP-GW-359,0,33300000,0,33300000,{3DD8339D-B617-4274-BE72-7B1CB6C5D902},
